,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Barricade Tennis Shoes,Men's Tennis,4 colors,/us/barricade-tennis-shoes/GY1445.html,$150,"Show your colors. Worn by adidas athletes at the southern hemisphere's premier tournament, these tennis shoes are part of a vibrant collection highlighting the consequences of climate change. Their intuitive lacing system combines with gap-filling heel Sensepods to help you feel at one with your footwear. Underneath, a cushioned Bounce midsole and TPU midfoot shank add comfort and stability.",Adaptive lacing system; Textile upper; Torsion System; Geofit Sensepods; Bounce midsole; Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Silver Metallic / Solar Red; Product code: GY1445, Core Black / Silver Metallic / Solar Red,240,4.0,
1,ZX22 Kawasaki Shoes,Men's Originals,new,/us/zx22-kawasaki-shoes/GW2125.html,$150,"Since day one, innovation was built into the foundation of the ZX line. Which makes complete sense knowing that the very first ZX design was inspired by Kawasaki back in '84. The ZX22 shoes are part of the next chapter of our collaboration with the pioneering Japanese motorcycle brand, taking inspiration from a Kawasaki concept vehicle to usher in the next wave of the future with an uncompromising perspective. A symbol of progress, the distinctive trainers feature a unique, straight-shaped mudguard, reflective details and vibrant pops of lime green throughout. Plush BOOST cushioning elevates every move with comfort.

Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.",Synthetic upper; Textile lining; BOOST midsole; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Silver Metallic / Silver Metallic / Core Black; Product code: GW2125,,,,
2,Hyperturf Adventure Shoes,Women's Originals,5 colors,/us/hyperturf-adventure-shoes/GW7127.html,$140,"Freedom is a comfortable pair of shoes and an empty schedule waiting to be filled with adventure. So lace up in the adidas Hyperturf Adventure Shoes and explore the city. Their durable design takes cues from our outdoor archives, with ripstop mesh, suede and nubuck. Adiprene+ technology and FORMOTION keep feet feeling comfortable and fresh from morning until night.

Made in part with recycled content generated from production waste, e.g., cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content.","Regular fit; Lace closure; Nubuck, suede and mesh ripstop upper; FORMOTION; Adiprene+ cushioning; Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Off White / Magic Grey / Grey One; Product code: GW7127", Off White / Magic Grey / Grey One,,,
3,OZELIA Shoes,Youth Originals,2 colors,/us/ozelia-shoes/HP3255.html,$80,"The '90s served up some serious looks, and we've infused some of the best of them into these adidas OZELIA Shoes for juniors. We've also added modern comforts, like Adiprene cushioning paired with a soft EVA outsole to make sure every step you take is greeted with plush goodness. The smooth, fluid lines sculpted into the shoes are complemented by flowing, contrast colors.",Regular fit; Lace closure; Textile upper with weldings; Snug feel; Adiprene cushioning; Textile lining and sockliner; Rubber outsole; Imported; Product color: Shadow Green / Green Oxide / Aluminium; Product code: HP3255, Wonder White / Grey Five / Aluminium,,,
4,adidas by Stella McCartney Solarglide Running Shoes,Women's adidas by Stella McCartney,7 colors,/us/adidas-by-stella-mccartney-solarglide-running-shoes/GX9858.html,$220,"If you're looking for a running shoe that can elevate any outfit, the adidas by Stella McCartney Solarglide Running Shoes might just be it.

The lightweight Primeknit upper made in part with recycled materials will keep your feet snug on any run around 10k. The striking speed-inspired cage is made from bio-based EVA. The cage is built to give you extra support with every step, and it gives the shoes their characteristic Stella McCartney look. 

Whether you wear these shoes when you go for a run or throughout your day, you'll feel energized with every step thanks to the flexible outsole and BOOST midsole. They complete any outfit as a statement piece.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Hugs the foot; BOOST midsole; Rubber outsole; adidas by Stella McCartney logo; Vegan alternative: At least 25% recycled content; Imported; Product color: Core Black / Active Purple / Shock Yellow; Product code: GX9858, Core Black / Active Purple / Shock Yellow,65,4.4,$176
5,Five Ten Trailcross LT Mountain Bike Shoes,Men's Five Ten,2 colors,https://www.adidas.com/us/five-ten-trailcross-lt-mountain-bike-shoes/GY5124.html,$140,"The bike is your tool for escape. The adidas Five Ten Trailcross LT bike shoes let you pedal, push and hike in any terrain with a breathable, quick-drying design for taking on adventure. Pedal-gripping treads give you full control of the pedals and sure-footed confidence off the bike.","Regular fit; Lace closure; Breathable mesh upper; Raised ankle collar height for protection; Lightweight, durable EVA midsole; Non-marking Stealth® Phantom rubber outsole; Imported; Product color: Focus Olive / Pulse Lime / Orbit Green; Product code: GY5124", Core Black / Grey Two / Solar Red,360,4.7,$84
6,PureHustle 2.0 MD Cleats,Children Softball,3 colors,https://www.adidas.com/us/purehustle-2.0-md-cleats/H02349.html,$30,Help your young slugger dominate the diamond in these kids' adidas softball cleats. They feature a durable textile upper with a mesh tongue for added breathability. The rubber outsole and textile lining elevate comfort. Molded cleats grip the dirt for supreme confidence on every swing.,Lace closure; Textile upper with mesh tongue; Textile lining; Rubber outsole; Imported; Product color: Core Black / Screaming Pink / Cloud White; Product code: H02349, Core Black / Cloud White / Cloud White,9,4.7,
7,Tour360 22 Golf Shoes,Men's Golf,6 colors,https://www.adidas.com/us/tour360-22-golf-shoes/GZ3158.html,$180,"Take your performance to the next level in these adidas golf shoes. They're made with a BOOST midsole for energy return and enhanced comfort. The 360Wrap design locks in and supports your feet through 18 holes and beyond. An INSITE® sockliner offers cushioning for optimal fit and balance, and the SPIKEMORE traction outsole provides solid grip throughout your entire round.",Ergonomic fit; Leather upper with padded collar; 360Wrap support; INSITE® sockliner; Dual stack BOOST midsole; SPIKEMORE traction and six-spike TPU outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Iron Metallic; Product code: GZ3158, Cloud White / Core Black / Blue Rush,183,4.1,
8,,,,/us/kermit-stan-smith-shoes/GW4529.html,,"For over 50 years, the adidas Stan Smith shoes have defined laid-back style with attitude and edge. This time, this juniors' version get a friendly update with Kermit the Frog. Appearing on the tongue, the beloved Disney character adds a playful touch to the sleek style. A printed sockliner is a delightful surprise that makes every wear that much more fun. The heel patches are a reminder that ""It's not easy being green,"" so it's important to do our best for the planet. A snug fit with an OrthoLite® sockliner ensures that comfort isn't sacrificed for style.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Synthetic leather upper; OrthoLite® sockliner; Synthetic lining; ©Disney; Recycled rubber outsole made with 10% recycled material derived from production waste; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Cloud White / Off White; Product code: GW4529, Pantone / Cloud White / Core Black,,,
9,,,,/us/chasker-boots/HQ2067.html,,"If the city never sleeps, that means there's always something to do. Which also means you need something that's ready for all hours and all weather — like these adidas boots. It doesn't matter where you end up, the rugged design gets you there comfortably. We're talking a water-resistant upper and durable rubber outsole. 3-Stripes keep things classically adidas.",Lace closure; Water-resistant leather upper; Textile lining and sockliner; Rugged rubber outsole; Imported; Product color: Core Black / Semi Impact Orange / Beam Yellow; Product code: HQ2067,,2,2.5,
