,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars
0,Icon 7 Cleats,Men's Baseball,2 colors,/us/icon-7-cleats/S23860.html,$90,There's more to explosive movement than pure speed. These adidas baseball cleats keep you fast while giving you the stability you need to increase power. The upper is tailored to feel like a natural extension of the foot with a Molded sockliner and extra lockdown at the heel. Lightstrike offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightweight; Lightstrike midsole; Molded sockliner; Cleated metal and TPU outsole; Imported; Product color: Team Light Grey / Cloud White / Silver Metallic; Product code: S23860, Royal Blue / Cloud White / Silver Metallic,10,4.1
1,adizero Afterburner NWV K,Children Baseball,2 colors,/us/adizero-afterburner-nwv-k/GZ9746.html,$65,,Imported; Product color: Team Light Grey / Cloud White / Team Light Grey; Product code: GZ9746, Team Light Grey / Cloud White / Team Light Grey,1,4.0
2,PureHustle 2.0 Cleats,Women's Softball,4 colors,/us/purehustle-2.0-cleats/H00984.html,$85,Dominate the diamond in these adidas softball cleats. They feature a Sprintskin upper that's lightweight and durable and a Lightstrike midsole that helps you fly at top speed. Metal cleats on the outsole grip the dirt for confidence on every single swing.,Lace closure; Sprintskin upper; Lightweight; Molded heel details; Lightstrike midsole; Cleated metal outsole; Imported; Product color: Core Black / Silver Metallic / Silver Metallic; Product code: H00984, Cloud White / Silver Metallic / Silver Metallic,3,4.3
3,Juniors' Codechaos 22 Limited Edition BOA Golf Shoes,Children Golf,3 colors,/us/juniors-codechaos-22-limited-edition-boa-golf-shoes/GV6680.html,$70,"These adidas golf shoes are made for performance on the course. They feature full-length Bounce cushioning for comfort and flexibility. The mesh upper has an added film to provide waterproof protection and keep the shoe clean. The BOA® Fit System lets you dial in a precise fit, and the six-cleat Adiwear outsole delivers solid grip on greens and fairways.",Regular fit; Micro-adjustable dial-based BOA® Fit System; Water-resistant film over textile upper; Slow resilient sockliner; Bounce midsole; Six-cleat Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Bliss / Brown / Light Purple; Product code: GV6680, Cloud White / Core Black / Beam Yellow,3,3.7
4,Icon 7 Mid Cleats,Children Baseball,3 colors,/us/icon-7-mid-cleats/S23919.html,$30,For heavy hitters. These adidas baseball cleats give kids the speed and power to impact the game. They're built to last with a durable synthetic upper that has a supportive mid cut. A Bounce midsole provides lightweight cushioning so they stay comfortable through nine innings and beyond.,Lace closure; Synthetic upper; Bounce midsole; Molded rubber outsole; Textile lining; Imported; Product color: Core Black / Cloud White / Cloud White; Product code: S23919, Team Power Red / Cloud White / Cloud White,46,4.8
5,Adizero Ubersonic 4 Tennis Shoes,Women's Tennis,3 colors,https://www.adidas.com/us/adizero-ubersonic-4-tennis-shoes/GW3818.html,$140,"Speed buys time. Time earns points. That's why these adidas Adizero Ubersonic 4 tennis shoes were designed to get you to the ball faster. Their foot-hugging stretch-woven upper and external heel counter keep you strapped in for explosive sprints. Internal reinforcements add extra stability through slides and sidesteps. Underneath, a low-profile Lightstrike midsole and grippy Adiwear outsole combine to ensure you're always first to react on hard courts.",Lace closure; Mesh upper with inner knit sock; Adituff toe; Lightstrike cushioning; Adiwear outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Silver Metallic / Bright Cyan; Product code: GW3818, Cloud White / Silver Metallic / Bright Cyan,82,3.6
6,Icon 7 Cleats,Men's Baseball,2 colors,https://www.adidas.com/us/icon-7-cleats/FZ1557.html,$90,There's more to explosive movement than pure speed. These adidas baseball cleats keep you fast while giving you the stability you need to increase power. The upper is tailored to feel like a natural extension of the foot with a Molded sockliner and extra lockdown at the heel. Lightstrike offers superlight cushioning for dynamic movement.,Lace closure; Textile upper; Lightweight; Lightstrike midsole; Molded sockliner; Cleated metal and TPU outsole; Imported; Product color: Cloud White / Silver Metallic / Silver Metallic; Product code: FZ1557, Royal Blue / Cloud White / Silver Metallic,10,4.1
7,Icon 7 BOOST,Men's Baseball,3 colors,https://www.adidas.com/us/icon-7-boost/S23852.html,$120,"For heavy hitters, these adidas baseball cleats give you the speed and power to impact the game. They're built for comfort with a soft textile upper. The Boost midsole provides energized cushioning, so you stay comfortable through nine innings and beyond. A metal cleated outsole lets you dig in on grass or dirt.",Lace closure; Textile upper; Boost midsole; Metal cleated outsole; Imported; Product color: Team Light Grey / Cloud White / Silver Metallic; Product code: S23852, Core Black / Silver Metallic / Cloud White,13,4.6
8,,,,/us/swift-run-22-shoes/GX9209.html,,"Comfort makes all the difference. Since these juniors' Swift Run 22 Shoes are inspired by classic adidas running styles, they're all about keeping up with a fast pace. A soft EVA midsole comes in with lightweight cushioning, so no matter how you're moving, you feel supported and confident.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Lace closure; Closed knit mesh upper; OrthoLite® sockliner; EVA midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Pulse Magenta / Pulse Magenta / Core Black; Product code: GX9209, Pulse Magenta / Pulse Magenta / Core Black,,
9,,,,/us/codechaos-22-spikeless-golf-shoes/GX3942.html,,"Step onto the course, step up your style and turn up your game. Every detail of the adidas CODECHAOS22 BOA spikeless golf shoes is built with a job to do. From the stance stability of the wraparound outsole to the swing-boosting traction of Twist Grip and the Energized feel of full-length BOOST, they maximize everything you need on the course — including your style. The BOA® Fit System lets you fine tune the fit and support with the turn of a dial. Tour-level performance has never looked this good.",Regular fit; Micro-adjustable dial-based fit system; Molded EVA sockliner; BOOST midsole; Rubber wrapping spikeless outsole with Twist Grip; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Linen Green / Dark Silver Metallic; Product code: GX3942, Core Black / Linen Green / Dark Silver Metallic,8,5.0
