,title,subtitle,num_colors,url,price,description,details,colors,n_reviews,avg_stars,reduced_price
0,Ultraboost 22 HEAT.RDY Shoes,Men's Running,2 colors,/us/ultraboost-22-heat.rdy-shoes/GX8086.html,$180,"When the temperature's high, but your motivation's higher. Lace on these adidas Ultraboost running shoes and head to the shady side of the street. The blend of comfort, responsiveness and breathability will have you feeling good through warm-weather miles. HEAT.RDY keeps you cool, and BOOST returns energy with every stride. Just don't forget to drink water.",Lace closure; adidas PRIMEKNIT textile upper; BOOST midsole; Linear Energy Push system; Weight: 333 g; Stretchweb outsole with Continental™ Better Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Legacy Indigo / Pulse Mint / Purple Rush; Product code: GX8086, Legacy Indigo / Pulse Mint / Purple Rush,31,4.4,
1,Forum Low Shoes,Originals,11 colors,/us/forum-low-shoes/FY7757.html,$100,"More than just a shoe, it's a statement. The adidas Forum hit the scene in '84 and gained major love on both the hardwood and in the music biz. This pair of the classic shoes brings back the '80s attitude, the explosive hardwood energy and the iconic removable strap ankle design, distilled into a low top version meant for the streets.",Lace closure with removeable strap; Leather upper; Rubber outsole; Imported; Product color: Cloud White / Cloud White / Core Black; Product code: FY7757, Cloud White / Cloud White / Cloud White,706,4.8,$85
2,Edge Lux Shoes,Women's Training,6 colors,/us/edge-lux-shoes/GZ1717.html,$90,"Comfort is key, whether you're racing to catch a train or rolling up some miles on the weekend. These adidas running shoes have a Bounce midsole that's light and flexible to keep you moving. A padded Geofit collar locks you in, so don't be afraid to stride it out.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Women's-specific fit; Lace closure; Textile upper; Geofit padded collar; Molded sockliner; Bounce midsole; Rubber outsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Core Black / Core Black / Iron Metallic; Product code: GZ1717, Wonder Mauve / Chalk White / Magic Mauve,192,4.0,$72
3,Five Ten Trailcross GORE-TEX® Mountain Bike Shoes,Five Ten,40% off with code: cyber,/us/five-ten-trailcross-gore-tex-mountain-bike-shoes/S29146.html,$220,"The Trailcross range was built from the ground up, starting with the Five Ten dotted outsole for flat pedal performance on the bike. This was then refined with hiking in mind, bringing the additional ridged grip to the toe and heel. The Trailcross GTX is a hi-top design allowing for use in more extreme conditions alongside GORE-TEX waterproof technology for all weather protection. With the need for the shoe to provide all day comfort but also deliver across the contact points on and off the bike, the mid-sole EVA technology provides the necessary comfort without losing the all-important pedal stability. The Trailcross GTX utilises a reinforced upper for added stability, additionally a neoprene hook and loop ankle cuff helps to keep debris out of the shoe.",Lace closure; Textile upper with a neoprene collar; GORE-TEX membrane; Dual compound Stealth® outsole; Toe overlay; Textile lining; Imported; Product color: Core Black / Grey Three / Dgh Solid Grey; Product code: S29146,,440,4.6,$187
4,Solar Glide 5 GORE-TEX Shoes,Men's Running,2 colors,/us/solar-glide-5-gore-tex-shoes/GV8267.html,$160,"Your running goals don't take a break when cold, wet weather sets in. Winterize your training in these adidas shoes. The GORE-TEX upper and inner bootie keep water out so your feet stay dry, and a protective shroud over the laces adds extra coverage. Hundreds of BOOST capsules fused together underfoot give incredible energy return to keep you feeling fresh through any distance. The lug Continental™ Rubber outsole grips slick surfaces for a confident stride no matter the conditions.",Slip-on; GORE-TEX textile upper; RAIN.RDY; GORE-TEX inner bootie; Linear Energy Push system and BOOST midsole; Weight: 14.6 ounces (size 9); Midsole drop: 10 mm (heel: 37 mm / forefoot: 27 mm); Continental™ Rubber outsole; 25% of the components used to make the upper are made with a minimum of 50% recycled content; Imported; Product color: Core Black / Grey Six / Carbon; Product code: GV8267, Core Black / Grey Six / Carbon,12,4.7,$144
5,NMD_V3 Shoes,Men's Originals,21 colors,https://www.adidas.com/us/nmd_v3-shoes/GX9587.html,$160,"The clear details on these adidas NMD shoes play with the idea of transparency and tactical technology. The TPU heel clip showcases that transparency and adds a new depth to the silhouette. Energy-returning BOOST lets you go hard all day long, and of course, since these are NMDs, you have the signature midsole plugs to sign the style off.",Lace closure; Textile upper with tongue and heel pulls; Molded heel clip; Partial TPU midsole with Molded TPU plugs; BOOST midsole; Rubber outsole; Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester; Imported; Product color: Core Black / Core Black / Core Black; Product code: GX9587, Grey One / Off White / Halo Silver,38,4.5,
6,OZWEEGO Shoes,Women's Originals,7 colors,https://www.adidas.com/us/ozweego-shoes/GY9425.html,$120,"Welcome to the OZ universe. The shoes that started it all, the adidas OZWEEGO sneakers continue to push the boundaries of design with a distinctive layered upper of textile, leather and suede. Their '90s running roots are clear in the fast-yet-bulky look while the subdued colors keep things elevated for today. Stride with confidence on the unbelievably comfortable EVA and Adiprene+ midsole.",Lace closure; Textile and leather upper with suede overlays; Textile lining; Adiprene+ cushioning; EVA midsole; Rubber outsole; Imported; Product color: Core Black / Core Black / Silver Metallic; Product code: GY9425, Linen Green / Dash Grey / Feather Grey,123,4.6,
7,Ultraboost 22 Shoes,Men's Running,26 colors,https://www.adidas.com/us/ultraboost-22-shoes/GX3062.html,$190,"These Ultraboost running shoes serve up comfort and responsiveness. You'll be riding on a BOOST midsole for endless energy, with a Linear Energy Push system and a Continental™ Rubber outsole. This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.",Regular fit; Lace closure; adidas PRIMEKNIT textile upper; Soft heel fit; Linear Energy Push system; BOOST midsole; Weight: 11.7 ounces (size 9); Stretchweb outsole with Continental™ Better Rubber; Yarn in upper contains at least 50% Parley Ocean Plastic  and 50% recycled polyester; Imported; Product color: Core Black / Core Black / Cloud White; Product code: GX3062, Cloud White / Cloud White / Vivid Red,2496,4.7,
8,,,,/us/nizza-rf-slip-shoes/S23722.html,,"When worlds collide, magic happens. These adidas shoes are proof. They take vintage B-ball DNA and mix it with a classic design from the world of skate. Voila. Now it's a slip-on. Slide in and go. Anywhere. Anytime.",Slip-on; Textile upper; Rubber outsole; Imported; Product color: Core Black / Core Black / Cloud White; Product code: S23722, Core Black / Core Black / Cloud White,235,4.4,
9,,,,/us/grand-court-2.0-shoes/GV6809.html,,"Double thumbs-up for these kids' classic adidas sneakers. They have a soft textile lining that gently hugs growing feet. The hook-and-loop top strap can be tightened to keep them firmly in place, plus it's a quick and easy way for independent kids to put on their own shoes. Add sporty camo 3-Stripes and even the pickiest young shoppers approve.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Regular fit; Elastic laces with hook-and-loop strap; Synthetic leather upper; Textile lining; Rubber cupsole; Upper contains a minimum of 50% recycled content; Imported; Product color: Cloud White / Green Oxide / Royal Blue; Product code: GV6809,,3,4.7,
